 AADE Ed J; AADE editors' journal
 J Crit Care Med; Journal of critical care medicine
 Simul Model Pract Theory; Simulation modelling practice and theory
 GMS Interdiscip Plast Reconstr Surg DGPW; GMS Interdisciplinary plastic and reconstructive surgery DGPW
 NI 2012 2012; NI 2012  11th International Congress on Nursing Informatics June 23-27 2012 Montreal Canada International Congress in Nursing Informatics 11th  2012  Montreal Quebec
 Aust Educ Res; Australian educational researcher
 J Behav Exp Finance; Journal of behavioral and experimental finance
 J Geod; Journal of geodesy
 J Geodyn; Journal of geodynamics
 Mater Charact; Materials characterization
 Health Policy Technol; Health policy and technology
 J Int Money Finance; Journal of international money and finance
 J Number Theory; Journal of number theory
 J South Am Earth Sci; Journal of South American earth sciences
 J Struct Geol; Journal of structural geology
 J Symb Comput; Journal of symbolic computation
 Lithos; Lithos
 Mar Policy; Marine policy
 ACS Sens; ACS sensors
 Sport Exerc Perform Psychol; Sport exercise and performance psychology
 Curr Plant Biol; Current plant biology
 Fire Saf J; Fire safety journal
 Int J Biomed Data Min; International journal of biomedical data mining
 IEEE Int Symp Precis Clock Synchron Meas Control Commun; IEEE International Symposium on Precision Clock Synchronization for Measurement Control and Communication  ISPCS   proceedings IEEE International Symposium on Precision Clock Synchronization for Measurement Control and Communic
 J Public Aff; Journal of public affairs
 Spektrum Augenheilkd; Spektrum der Augenheilkunde  Zeitschrift der Osterreichischen Ophthalmologischen Gesellschaft OOG
 Interdiscip Inf Sci; Interdisciplinary information sciences
 J Character Educ; Journal of character education
 Mult Scler J Exp Transl Clin; Multiple sclerosis journal - experimental translational and clinical
 IEEE NPSS Real Time Conf; IEEE NPSS Real Time Conference  conference record Conference on Real-Time Computer Applications in Nuclear Particle and Plasma Physics
 Arch Neurosci; Archives of neuroscience
 New Dir Stud Leadersh; New directions for student leadership
 J Environ Eng Ecol Sci; Journal of environmental engineering & ecological science
 J Lab Chem Educ; Journal of laboratory chemical education
 BioOpt World; BioOptics world
 World J Obstet Gynecol; World journal of obstetrics and gynecology
 Nanotechnol Russ; Nanotechnologies in Russia
 Harmful Algae 2002 2002; Harmful algae 2002  proceedings of the Xth International Conference on Harmful Algae St Pete Beach Florida USA October 21-25 2002 International Conference on Harmful Algae 10th  2002  St Pete Beach Florida
 SACEMA Q; SACEMA quarterly
 Int J Chronic Dis; International journal of chronic diseases
 IEEE Antennas Propag Mag; IEEE antennas & propagation magazine
 J Pediatr Mother Care; Journal of pediatrics and mother care
 J Pers Nanomed; Journal of personalized nanomedicine
 Quat Res; Quaternary research
 J Biomed Educ; Journal of biomedical education
 Med Aromat Plants Los Angel; Medicinal & aromatic plants
 Curr Top Pept Protein Res; Current topics in peptide & protein research
 Obes Open Access; Obesity open access
 Eur J Pharm Med Res; European journal pharmaceutical and medical research
 JMIR Public Health Surveill; JMIR public health and surveillance
 Open Life Sci; Open life sciences
 J Int Soc Respir Prot; Journal of the International Society for Respiratory Protection
 Clin Diabetes Endocrinol; Clinical diabetes and endocrinology
 Pleura Thousand Oaks; Pleura Thousand Oaks Ventura County Calif
 Int J Health Nutr; International journal of health and nutrition
 Int J Hematol Ther; International journal of hematology & therapy
 Res Soc Sci Study Relig; Research in the social scientific study of religion
 Brain Plast; Brain plasticity
 Brain Inform Health 2015; Brain Informatics and Health  8th International Conference BIH 2015 London UK August 30-September 2 2015  proceedings BIH Conference 8th  2015  London England
 Proc Conf Empir Methods Nat Lang Process; Proceedings of the Conference on Empirical Methods in Natural Language Processing Conference on Empirical Methods in Natural Language Processing
 Mind Ment Health Mag; Mind and mental health magazine
 Regen Eng Transl Med; Regenerative engineering and translational medicine
 Austin J Environ Toxicol; Austin journal of environmental toxicology
 Perspect Gerontol; Perspectives on gerontology
 Ann Psychiatry Ment Health; Annals of psychiatry and mental health
  Int Conf Ind Instrum Control;  International conference on industrial instrumentation and control International Conference on Industrial Instrumentation and Control
 Mater Renew Sustain Energy; Materials for renewable and sustainable energy
 J Eur Public Policy; Journal of European public policy
 Ore Geol Rev; Ore geology reviews
 Phys Perspect; Physics in perspective
 Prog Part Nucl Phys; Progress in particle and nuclear physics
 Sci Comput Program; Science of computer programming
 Signal Process Image Commun; Signal processing Image communication
 Soil Tillage Res; Soil & tillage research
 Sol Energy; Solar energy Phoenix Ariz
 Sol Energy Mater Sol Cells; Solar energy materials and solar cells  an international journal devoted to photovoltaic photothermal and photochemical solar energy conversion
 Mater Today; Materials Today  proceedings
 Measurement Lond; Measurement  journal of the International Measurement Confederation
 Minds Mach Dordr; Minds and machines
 Nucl Phys B; Nuclear physics B
 RMD Open; RMD open
 Struct Dyn; Structural dynamics Melville NY
 Int J Sports Exerc Med; International journal of sports and exercise medicine
 Brain Circ; Brain circulation
 J Appl Bioinforma Comput Biol; Journal of applied bioinformatics & computational biology
 Appl Environ Soil Sci; Applied and environmental soil science
 Antioxidants Basel; Antioxidants Basel Switzerland
 Annu Book ASTM Stand Sect 11 Water Environ Technol; Annual book of ASTM standards Section 11 Water and environmental technology ASTM Committee E-35 on Pesticides
 Egypt J Chest Dis Tuberc; The Egyptian journal of chest diseases and tuberculosis
 Asthma Res Pract; Asthma research and practice
 HVAC&R Res; HVAC&R research
 Intell Sci Big Data Eng 2013; Intelligence science and big data engineering  4th international conference IScIDE 2013 Beijing China July 31-August 2 2013 revised selected papers IScIDE 4th  2013  Beijing China
 Int J Child Health Nutr; International journal of child health and nutrition
 J Hematol Thromb; Journal of hematology & thrombosis
 World J Respirol; World journal of respirology
 Crit Afr Stud; Critical African studies
 Transp Policy Oxf; Transport policy
 J Vib Control; Journal of vibration and control  JVC
 Front Vet Sci; Frontiers in veterinary science
 Front Cardiovasc Med; Frontiers in cardiovascular medicine
 Foods; Foods Basel Switzerland
 Eur Heart J Cardiovasc Pharmacother; European heart journal Cardiovascular pharmacotherapy
 J Near Infrared Spectrosc; Journal of near infrared spectroscopy
 AACE Clin Case Rep; AACE clinical case reports
 J Integr Pest Manag; Journal of integrated pest management
 Ment Health Prev; Mental health & prevention
 Rep Biochem Mol Biol; Reports of biochemistry & molecular biology
 Trends Organ Crime; Trends in organized crime
 Waste Biomass Valorization; Waste and biomass valorization
 Form Methods Syst Des; Formal methods in system design
 J Philos Logic; Journal of philosophical logic
 Polit Behav; Political behavior
 J Dyn Control Syst; Journal of dynamical and control systems
 Prev Strateg; Prevention strategist
 Sport Soc; Sport in society
 Online J Commun Media Technol; Online journal of communication and media technologies
 J Acute Care Phys Ther; Journal of acute care physical therapy
 IEEE ROBIO; IEEE ROBIO   proceedings  IEEE International Conference on Robotics and Biomimetics IEEE International Conference on Robotics and Biomimetics
 J Paramed Sci; Journal of paramedical sciences
 Proc Wirel Health; Proceedings Wireless Health  electronic resource Wireless Health Conference
 Int J Constr Educ Res; International journal of construction education and research
 Biomath Sofia; Biomath Sofia Bulgaria
 Medicines Basel; Medicines Basel Switzerland
 Cem Concr Compos; Cement & concrete composites
 Rock Mech Rock Eng; Rock mechanics and rock engineering
 J ASTM Int; Journal of ASTM International
 Proc Annu Int Conf Mob Comput Netw; Proceedings of the  annual International Conference on Mobile Computing and Networking International Conference on Mobile Computing and Networking
 J Educ Perioper Med; The journal of education in perioperative medicine  JEPM
 Echo Res Pract; Echo research and practice
 Int J Biol Med Res; International journal of biological and medical research
 J Diabetes Res Ther; Journal of diabetes research and therapy
 Foresight Colch; Foresight Colchester Vt
 Public Policy Aging Rep; The Public policy and aging report
 Tomography; Tomography  a journal for imaging research
 Eurasian Geogr Econ; Eurasian geography and economics
 Int J Clin Biostat Biom; International journal of clinical biostatistics and biometrics
 J Environ Anal Toxicol; Journal of environmental & analytical toxicology
 Austin J Vasc Med; Austin journal of vascular medicine
 IZA J Labor Econ; IZA journal of labor economics
 Res Rev J Pharm Pharm Sci; Research & reviews $p Journal of pharmacy and pharmaceutical sciences
 Clin Hypertens; Clinical hypertension
 J Mot Learn Dev; Journal of motor learning and development
 J Eur Opt Soc Rapid Publ; Journal of the European Optical Society Rapid publications
 INTED Proc; INTED proceedings
 Int J Cancer Res Mol Mech; International journal of cancer research and molecular mechanisms
 Contemp Clin Trials Commun; Contemporary clinical trials communications
 Proc Int Conf Web Inf Syst Eng; Proceedings of the  International Conference on Web Information Systems Engineering International Conference on Web Information Systems Engineering
 J Excell Coll Teach; Journal on excellence in college teaching
 Int J Pharma Sci; International journal of pharma sciences
 Health Psychol Open; Health psychology open
 Biol Psychiatry Cogn Neurosci Neuroimaging; Biological psychiatry  cognitive neuroscience and neuroimaging
 MEDtube Sci; MEDtube science
 Silica Assoc Respirable Miner Part 2012; Silica and associated respirable mineral particles
 J Nanopharm Drug Deliv; Journal of nanopharmaceutics and drug delivery
 Qsci Proc; Qscience proceedings
 IEEE Int Conf Data Min Workshops; Proceedings  ICDM workshops  IEEE International Conference on Data Mining
 J Syst Integr Neurosci; Journal of systems and integrative neuroscience
 Source J Genom; Source journal of genomics
 J Hematol Transfus; Journal of hematology & transfusion
 J Rehabil Assist Technol Eng; Journal of rehabilitation and assistive technologies engineering
 Microb Genom; Microbial genomics
 J Fungi Basel; Journal of fungi Basel Switzerland
 Brain Bacau; Brain  broad research in artificial intelligence and neuroscience
 Hosp Chron; Hospital chronicles = Nosokomeiaka chronika
 Pap Palaeontol; Papers in palaeontology
 Geol Carpath; Geologica Carpathica  the journal of Geological Institute of Slovak Academy of Sciences
 Int J Adv Res Indore; International journal of advanced research
 J Can Health Libr Assoc; The journal of the Canadian Health Libraries Association
 Appl Acoust; Applied acoustics Acoustique applique Angewandte Akustik
 Cerae; Cerae  an Australasian journal of medieval and early modern studies
 ERJ Open Res; ERJ open research
 Astrophys J Lett; The astrophysical journal Letters
 Fertil Res Pract; Fertility research and practice
 J Syst Palaeontol; Journal of systematic palaeontology
 Nat Hist Sci; Natural history sciences  atti della Societa italiana di scienze naturali e del Museo civico di storia naturale in Milano
 HAU; HAU  journal of ethnographic theory
 Austin J Clin Pathol; Austin journal of clinical pathology
 Int J Nurs N Y; International journal of nursing New York NY
 Lett Biomath; Letters in biomathematics
 SM J Reprod Health Infertil; SM journal of reproductive health & infertility
 J Sport Dev; Journal of sport for development
 Int J Nutr Metab; International journal of nutrition and metabolism
 Arch Math; Archiv der Mathematik Archives of mathematics Archives mathematiques
 Stud Media Commun; Studies in media and communication
 Smart Health 2014; Smart Health  international conference ICSH 2014 Beijing China July 10-11 2014 Proceedings ICSH Conference  Smart health 2014  Beijing China
 Tech Commun; Technical communication
 Acad Manag Perspect; The Academy of Management perspectives
 Rev Disabil Stud; Review of disability studies
 Cogent Biol; Cogent biology
 J Oncopathol; The journal of oncopathology
 DH15 2015; DH'15 proceedings of the 5th International Conference on Digital Health 2015  May 18-20 2015 Florence Italy International Conference on Digital Health 5th  2015  Florence Italy
 Open Med Wars; Open medicine Warsaw Poland
 J Pharm Health Care Sci; Journal of pharmaceutical health care and sciences
 Clin Trials Regul Sci Cardiol; Clinical trials and regulatory science in cardiology
 Clin Case Rep Rev; Clinical case reports and reviews
 Ambito Encuentros; Ambito de encuentros
 Aorta Stamford; Aorta Stamford Conn
 Pediatr Neurol Briefs; Pediatric neurology briefs
 Topics Photogr Preserv; Topics in photographic preservation
 Heliyon; Heliyon
 J Reprod Biol Health; Journal of reproductive biology and health
 J Law Enforc Leadersh Ethics; Journal of law enforcement leadership and ethics
 Weld J; Welding journal
 J Microbiol Exp; Journal of microbiology & experimentation
 Proc ACM Symp Doc Eng; Proceedings of the ACM Symposium on Document Engineering ACM Symposium on Document Engineering
 J Neurol Neurol Disord; Journal of neurology and neurological disorders
 J Health Sci El Monte; Journal of health science El Monte
 Chromatography Basel; Chromatography Basel
 J Phys Chem Biophys; Journal of physical chemistry & biophysics
 J Fam Stud; Journal of family studies
 Flow Meas Instrum; Flow measurement and instrumentation  FMI
 BMC Nutr; BMC nutrition
 Open Med J; Open medicine journal
 West Afr J Ultrasound; West African journal of ultrasound
 Int J Clin Psychiatry Ment Health; International journal of clinical psychiatry and mental health
 Ayurvedic; Ayurvedic
 Commun Stat Appl Methods; Communications for statistical applications and methods
 Int J Child Adolesc Resil; International journal of child and adolescent resilience
 Constr Build Mater; Construction and building materials
 Turk Klin Tip Etigi Hukuku Tarihi; Turkiye klinikleri Tip etigi-hukuku-tarihi = Turkiye klinikleri journal of medical ethics law and history
 Concussion; Concussion
 J Homel Secur Emerg Manag; Journal of homeland security and emergency management
 Clin Res Foot Ankle; Clinical research on foot & ankle
 J Astron Telesc Instrum Syst; Journal of astronomical telescopes instruments and systems
 J Phys Ther Educ; Journal physical therapy education
 West Afr J Radiol; West African journal of radiology
 Pac Asia Inq; Pacific Asia inquiry  multidisciplinary perspectives
 Earth Interact; Earth interactions
 Stat Atlases Comput Models Heart; Statistical atlases and computational models of the heart STACOM Workshop
 World J Nephrol Urol; World journal of nephrology and urology
 SM J Clin Med Imaging; SM journal of clinical and medical imaging
 J Stem Cell Regen Biol; Journal of stem cell and regenerative biology
 Int J Gaming Comput Mediat Simul; International journal of gaming and computer-mediated simulations
 Biochem Mol Biol J; Biochemistry & molecular biology journal
 Eur Phys J Plus; European physical journal plus
 Int J Eng Res Technol Ahmedabad; International journal of engineering research & technology Ahmedabad
 Engineering Beijing; Engineering Beijing China
 Police Chief; The Police chief
 Manuf Lett; Manufacturing letters
 ASHRAE Trans; ASHRAE transactions
 Philipp Rev Econ; The Philippine review of economics
 Med Student Res J; Medical student research journal
 Biomed Eng Syst Technol Int Jt Conf BIOSTEC Revis Sel Pap; Biomedical engineering systems and technologies international joint conference BIOSTEC  revised selected papers BIOSTEC Conference
 Int J Cogn Technol; The international journal of cognitive technology  the official journal of the Practical Memory Institute
 Spat Econ Anal; Spatial economic analysis
 J Cancer Sci; Journal of cancer sciences
 J Metabolomics; Journal of metabolomics
 Asia Pac J Oncol Nurs; Asia-Pacific journal of oncology nursing
 JSM Chem; JSM Chemistry
 Neotrop Biodivers; Neotropical biodiversity
 Proc AAAI Conf Hum Comput Crowdsourc; Proceedings of the  AAAI Conference on Human Computation and Crowdsourcing
 Adv Intell Data Anal; Advances in intelligent data analysis International Symposium on Intelligent Data Analysis
 Crim Justice Stud Abingdon; Criminal justice studies Abingdon England
 Adv Med Ethics; Advances in medical ethics
 Case Orthop J; Case orthopaedic journal
 AZ; A/Z  ITU journal of Faculty of Architecture
 J Pain Manag Med; Journal of pain management & medicine
 Adv Neuroimmune Biol; Advances in neuroimmune biology
 Open Linguist; Open linguistics
 J Mark Access Health Policy; Journal of market access & health policy
 Glob Pediatr Health; Global pediatric health
 Correct Today; Corrections today
 React Chem Eng; Reaction chemistry & engineering
 J Pers Oriented Res; Journal for person-oriented research
 APDT Chron Dog; The APDT chronicle of the dog
 Transl Pediatr; Translational pediatrics
 Int J Insect Sci; International journal of insect science
 Stigma Health; Stigma and health
 Brain Inform; Brain informatics
 Arrhythm Electrophysiol Rev; Arrhythmia & electrophysiology review
 J Environ Chem Eng; Journal of environmental chemical engineering
 Estud Psicol; Estudios de psicologia
 Crystals Basel; Crystals
 Lab Animal Sci Prof; Laboratory animal science professional
 J Build Phys; Journal of building physics
 Int J Part Ther; International journal of particle therapy
 Curr Tissue Eng; Current tissue engineering
 Radiol Open J; Radiology - open journal
 Theor Comput Fluid Dyn; Theoretical and computational fluid dynamics
 Think Skills Creat; Thinking skills and creativity
 Int J Chem Kinet; International journal of chemical kinetics
 Int J Educ Soc Sci; International journal of education and social science
 J Addict Med Ther Sci; Journal of addiction medicine and therapeutic science
 Integr Med Int; Integrative medicine international
 Adv Integr Med; Advances in integrative medicine
 MIS Q; MIS quarterly  management information systems
 Int J Health Econ Manag; International journal of health economics and management
 Robot Mechatron 2015; Robotics and mechatronics  proceedings of the 4th IFToMM International Symposium on Robotics and Mechatronics IFToMM International Symposium on Robotics and Mechatronics 4th  2015  Poitiers France
 Int J Cancer Res Tortola; International journal of cancer research
 ISRA 2013 2013; ISRA 2013
 Rev Course Lect; Review course lectures  presented at the  Clinical and Scientific Congress of the International Anesthesia Research Society
 Converg Sci Phys Oncol; Convergent science physical oncology
 Clin Gov; Clinical governance
 Cienc Trab; Ciencia & trabajo  C&T
 Signal Inf Process Assoc Annu Summit Conf APSIPA Asia Pac; Signal and Information Processing Association Annual Summit and Conference APSIPA  Asia-Pacific Asia-Pacific Signal and Information Processing Association Annual Summit and Conference
 Mich State Int Law Rev; Michigan State international law review
 Proc ACM Int Workshop Data Text Min Biomed Inform; Proceedings of the ACM  International Workshop on Data and Text Mining in Biomedical Informatics  ACM International Workshop on Data and Text Mining in Biomedical Informatics
 mSphere; mSphere
 Abdom Radiol NY; Abdominal radiology New York
 Tectonophysics; Tectonophysics
 Adv Differ Equ; Advances in difference equations
 Mol Astrophys; Molecular astrophysics
 Adv Vis Comput 2015; Advances in visual computing  11th International Symposium ISVC 2015 Las Vegas NV USA December 14-16 2015 Proceedings Part I International Symposium on Visual Computing 11th  2015  Las Vegas Nev
 Domain Decompos Method Sci Eng XX 2011; Domain decomposition methods in science and engineering XX International Conference on Domain Decomposition Methods for Partial Differential Equations 20th  2011  San Diego Calif
 J Arthritis; Journal of arthritis
 J Eng Stevenage; Journal of engineering Stevenage England
 Nanosci Nanoeng; Nanoscience and nanoengineering
 Trop Dis Travel Med Vaccines; Tropical diseases travel medicine and vaccines
 Adv Adm Lab; Advance for administrators of the laboratory
 Leuk Suppl; Leukemia supplements
 J Microb Biochem Technol; Journal of microbial & biochemical technology
 Nat Microbiol; Nature microbiology
 J Drug Abuse; Journal of drug abuse
 J Interdiscip Histopathol; Journal of interdisciplinary histopathology
 NPJ Breast Cancer; NPJ breast cancer
 Mod Cell Biol; Modern cell biology
 Tour Manag; Tourism management
 Comput Sci Berl; Computer science Berlin Germany
 J Oral Med Pain; Journal of oral medicine and pain
 Health Syst Policy Res; Health systems and policy research
 J Glob Oncol; Journal of global oncology
 Asian J Criminol; Asian journal of criminology
 Informatics MDPI; Informatics MDPI
 Hanguk Simni Hakhoe Chi Kongang; Han'guk Simni Hakhoe chi Kon'gang = The Korean journal of health psychology
 J Progress Res Soc Sci; Journal of progressive research in social sciences
 J Genet Genome Res; Journal of genetics and genome research
 Signif Oxf; Significance Oxford England
 Drug Target Rev; Drug target review
 Methoden Daten Anal; Methoden daten analysen
 Recent Adv Phytochem; Recent advances in phytochemistry
 Investig Clin Urol; Investigative and clinical urology
 J Curr Glaucoma Pract; Journal of current glaucoma practice
 Clin Spine Surg; Clinical spine surgery
 Commun Math Stat; Communications in mathematics and statistics
 J Autoimmune Disord; Journal of autoimmune disorders
 Biomed Phys Eng Express; Biomedical physics & engineering express
 J Vet Sci Technol; Journal of veterinary science & technology
 Adv Biol; Advances in biology
 Int J Indig Health; International journal of indigenous health
 Cancer Res Front; Cancer research frontiers
 Obes Sci Pract; Obesity science & practice
 Proc Int Conf Adv Robot; Proceedings of  International Conference on Advanced Robotics International Conference on Advanced Robotics
 Sch Comm J; School community journal
 Inside Cell; Inside the cell
 AIMS Environ Sci; AIMS environmental science
 Timing Time Percept; Timing & time perception Leiden Netherlands
 NPJ Parkinsons Dis; NPJ Parkinson's disease
 J Mater Sci Technol; Journal of materials science & technology
 Sri Lankan J Appl Stat; Sri Lankan journal of applied statistics
 HLA; HLA
 JMIR Hum Factors; JMIR human factors
 RSF; The Russell Sage Foundation journal of the social sciences  RSF
 Quant Finance; Quantitative finance
 Travel Behav Soc; Travel behaviour & society
 Learn Disabil Pittsbg; Learning disabilities Pittsburgh Pa
 Pratiques; Pratiques
 J Fam Med Community Health; Journal of family medicine & community health
 Biophys Physicobiol; Biophysics and physicobiology
 Surg Sci; Surgical science
 Math Program Comput; Mathematical programming computation
 Skin Appendage Disord; Skin appendage disorders
 Glob Ecol Conserv; Global ecology and conservation
 Scoliosis Spinal Disord; Scoliosis and spinal disorders
 J Med Law Ethics; Journal of medical law and ethics
 Model Earth Syst Environ; Modeling earth systems and environment
 IEEE SICE RSJ Int Conf Multisens Fusion Integr Intell Syst; IEEE/SICE/RSJ International Conference on Multisensor Fusion and Integration for Intelligent Systems IEEE/SICE/RSJ International Conference on Multisensor Fusion and Integration for Intelligent Systems
 Indian J Med Inform; Indian journal of medical informatics
 J Clin Investig Dermatol; Journal of clinical and investigative dermatology
 Int J Immunother Cancer Res; International journal of immunotherapy and cancer research
 J Libr Sch Commun; Journal of librarianship and scholarly communication
 Immunotherapy Los Angel; Immunotherapy Los Angeles Calif
 Actual SIDA Infectol; Actualizaciones en SIDA e infectologia
 Loquens; Loquens
 Sci Scope Wash D C; Science scope Washington DC
 GMS J Med Educ; GMS journal for medical education
 Bull Emerg Trauma; Bulletin of emergency and trauma
 Neurol Genet; Neurology Genetics
 Cell Chem Biol; Cell chemical biology
 Acta Crystallogr D Struct Biol; Acta crystallographica Section D Structural biology
 Mitochondrial DNA B Resour; Mitochondrial DNA Part B Resources
 JAMA Cardiol; JAMA cardiology
 HIV Adv Res Dev; HIV advance research and development  open access
 Bioengineering Basel; Bioengineering Basel Switzerland
 JCI Insight; JCI insight
 Fibers Basel; Fibers Basel Switzerland
 Adv Multimed Inf Process - PCM 2013 2013; Advances in multimedia information processing - PCM 2013  14th Pacific-Rim Conference on Multimedia Nanjing China December 13-16 2013  proceedings IEEE Pacific Rim Conference on Multimedia 14th  2013  Nanjing China
 Phys Rev E; Physical review E
 Reeduc Orthoph; Reeducation orthophonique
 Ital J Gynaecol Obstet; Italian journal of gynaecology & obstetrics  official publication of the Societa italiana di ginecologia e ostetricia SIGO
 Wood Des Focus; Wood design focus
 Austin J Nephrol Hypertens; Austin journal of nephrology and hypertension
 Anal Methods Accid Res; Analytic methods in accident research
 Environ Epigenet; Environmental epigenetics
 AERA Open; AERA open
 Holocene; The Holocene
 J Drug Assess; Journal of drug assessment
 Hip Pelvis; Hip & pelvis
 J Transl Int Med; Journal of translational internal medicine
 J Police Crim Psychol; Journal of police and criminal psychology
 J Geriatr Med Gerontol; Journal of geriatric medicine and gerontology
 Nord J Hum Rights; Nordic journal of human rights
 Signal Transduct Target Ther; Signal transduction and targeted therapy
 Intell Inf Manag; Intelligent information management
 AI Matters; AI matters
 Environ Sci Camb; Environmental science  water research & technology
 Res Integr Peer Rev; Research integrity and peer review
 Int J Med Sci Public Health; International journal of medical science and public health
 J Stem Cell Res Ther Edmond; Journal of stem cell research & therapeutics
 Comput Electron Agric; Computers and electronics in agriculture
 J Hematol Res; Journal of hematology research
 Clin Microbiol Case Rep; Clinical microbiology & case reports
 Stem Cell Investig; Stem cell investigation
 Genes Environ; Genes and environment  the official journal of the Japanese Environmental Mutagen Society
 Gynecol Oncol Res Pract; Gynecologic oncology research and practice
 SICOT J; SICOT-J
 Adv Model Simul Eng Sci; Advanced modeling and simulation in engineering sciences
 Aquat Geochem; Aquatic geochemistry
 Bull Math Sci; Bulletin of mathematical sciences
 J Phys Act Nutr Rehabil; Journal of physical activity nutrition and rehabilitation
 India Policy Forum; India Policy Forum  papers India Policy Forum Conference
 Biophys Rep; Biophysics reports
 Int J Health Prof; International journal of health professions
 Am J Appl Math Stat; American journal of applied mathematics and statistics
 Behav Anal Wash D C; Behavior analysis Washington DC
 Pril Makedon Akad Nauk Umet Odd Med Nauki; Prilozi Makedonska akademija na naukite i umetnostite Oddelenie za medicinski nauki
 Braz J Cardiovasc Surg; Brazilian journal of cardiovascular surgery
 Pilot Feasibility Stud; Pilot and feasibility studies
 Acta Zoobot Austria; Acta ZooBot Austria
 Proc Inst Civ Eng Urban Des Plan; Proceedings of the Institution of Civil Engineers Urban design and planning
 Lat Am J Econ; Latin American journal of economics
 Stud Polit Econ; Studies in political economy  a socialist review
 Chin J Sociol; Chinese journal of sociology
 Mus Soc Issues; Museums & social issues  a journal of reflective discourse
 South Commun J; Southern communication journal
 Botanics; Botanics  targets and therapy
 First Peoples Child Fam Rev; First peoples child & family review
 Phenomenol Cogn Sci; Phenomenology and the cognitive sciences
 NanoImpact; NanoImpact
 Indian J Child Health Bhopal; Indian journal of child health
 Adv Biomed Eng Res; Advances in biomedical engineering research
 J Struct Eng N Y N Y; Journal of structural engineering New York NY
 MMWR Suppl; MMWR supplements
 Rev Mex Astron Astrofis; Revista mexicana de astronomia y astrofisica
 Adv Radiat Oncol; Advances in radiation oncology
 JACC Basic Transl Sci; JACC Basic to translational science
 Surf Innov; Surface innovations
 Health Psychol Rep; Health psychology report
 Int J Food Agric Econ; International journal of food and agricultural economics
 Int J Prod Res; International journal of production research
 Commun Algebra; Communications in algebra
 Wirel Pers Commun; Wireless personal communications
 Landsc Hist; Landscape history  journal of the Society for Landscape Studies
 Intellect Hist Rev; Intellectual history review
 Phys Chem Liquids; Physics and chemistry of liquids
 Roman Linguist 2008 2008; Romance linguistics 2008  interactions in romance  selected papers from the 38th linguistic symposium on romance languages LSRL Urbana-Champaign April 2008 Linguistic Symposium on Romance Languages 38th  2008  Urbana-Champaign
 Mol Biol Los Angel; Molecular biology Los Angeles Calif
 Int J Coal Sci Technol; International journal of coal science & technology
 Math Methods Oper Res Heidelb; Mathematical methods of operations research Heidelberg Germany
 Oxf Rev Educ; Oxford review of education
 J Elect Public Opin Parties; Journal of elections public opinion and parties
 SDRP J Biomed Eng; SDRP journal of biomedical engineering
 J Obes Weight Loss Medicat; Journal of obesity and weight-loss medication
 Can J Sch Psychol; Canadian journal of school psychology
 Comput Lang Syst Struct; Computer languages systems & structures
 Husserl Stud; Husserl studies
 Triple Helix Heidelb; Triple helix Heidelberg
 Environ Innov Soc Transit; Environmental innovation and societal transitions
 Earth Sci Rev; Earth-science reviews
 Int J Earth Sci; International journal of earth sciences  Geologische Rundschau
 Energy Procedia; Energy procedia
 Genet Program Evolvable Mach; Genetic programming and evolvable machines
 Int J Psychoanal Self Psychol; International journal of psychoanalytic self psychology
 Vis Dev Rehabil; Vision development and rehabilitation
 J Neurol Res Ther; Journal of neurological research and therapy
 Rom J Ophthalmol; Romanian journal of ophthalmology
 Recent Adv Cardiovasc Drug Discov; Recent advances in cardiovascular drug discovery
 Nat Rev Dis Primers; Nature reviews Disease primers
 Health Care Curr Rev; Health care Current reviews
 Chemosensors Basel; Chemosensors Basel Switzerland
 Energy Res Soc Sci; Energy research & social science
 Build Serv Eng Res Technol; Building services engineering research & technology  BSER & T
 Build Simul; Building simulation
 Afr J Environ Sci Tech; African journal of environmental science and technology
 Phys Rev B; Physical review B
 J Thyroid Disord Ther; Journal of thyroid disorders & therapy
 J Supercond Nov Magn; Journal of superconductivity and novel magnetism
 Orthop Tech Engl Ed; Orthopadie-Technik English ed
 Insights Neurosurg; Insights in neurosurgery
 NPJ Syst Biol Appl; NPJ systems biology and applications
 J Econ Sci Assoc; Journal of the Economic Science Association
 Eur Heart J Qual Care Clin Outcomes; European heart journal Quality of care & clinical outcomes
 Int Agrophys; International agrophysics
 Concurr Eng Res Appl; Concurrent engineering research and applications
 Ser Biomech; Series on biomechanics
 J Surf Eng Mater Adv Technol; Journal of surface engineered materials and advanced technology
 Inflamm Intest Dis; Inflammatory intestinal diseases
 Hum Pathol N Y; Human pathology New York
 J Clin Epigenet; Journal of clinical epigenetics
 Opera Med Physiol; Opera medica et physiologica
 HSOA J Psychiatry Depress Anxiety; HSOA journal of psychiatry depression & anxiety
 Matern Pediatr Nutr; Maternal and pediatric nutrition
 JFMS Open Rep; JFMS open reports
 Arts Psychother; The Arts in psychotherapy
 J Am Med Technol; Journal of the American Medical Technologists
 Jpn Econ Rev Oxf; Japanese economic review Oxford England
 SSM Popul Health; SSM - population health
 IZA J Labor Policy; IZA journal of labor policy
 Walailak J Sci Technol; Walailak journal of science and technology
 SM Trop Med J; SM tropical medicine journal
 J Diabetes Res Clin Metab; Journal of diabetes research & clinical metabolism
 Acta Geol Slovaca; Acta geologica Slovaca  AGEOS
 Correct Compend; Corrections compendium
